CODIGO;COD.LABO;DESCRIPCION;FEC.VCTO;PRINCIPIO.ACTIVO; PREC.CAJA
25306;DPS;3-GEL SUSP ORAL X 20 SOBRES;04/11/2028;ALUMINIO+MAGNESIO+OXETACAINA; S/ 24.00 
33564;MED;AB BRONCOL NF 1000 X 1VIAL+1AMP;30/06/2027;AMPICILINA; S/ 19.00 
31460;DOL;AB MOXIL 250MG/5ML PPSO X 60ML;30/04/2028;AMOXICILINA; S/ 7.50 
30424;MGB;ABRILAR EA 575 JARABE X 100ML;31/12/2026;HEDERA HELIX; S/ 20.00 
30718;MGB;ABRILAR EA 575 JBE X 200ML;30/04/2028;HEDERA HELIX; S/ 29.00 
30441;MGB;ABRILAR EA 575 SOL MENTOL X 100ML;31/03/2027;HEDERA HELIX; S/ 21.00 
30309;LAP;ABRIMED FORTE 70MG/5ML X 120ML;30/09/2026;HEDERA HELIX; S/ 12.30 
26351;VTP;ACETILCISTEINA  200MG X 50 SOB;30/08/2027;ACETILCISTEINA; S/ 27.00 
29654;VTP;ACETILCISTEINA 600MG X 50 SOB;30/06/2027;ACETILCISTEINA; S/ 34.00 
31500;SGC;ACI BASIC SUSP. ORAL X 200ML;31/12/2027;MAGALDRATO/SIMETICONA; S/ 26.00 
31481;MGB;ACI TIP SUSP FCO 200ML-MENTA;31/07/2028;MAGALDRATO + SIMETICONA; S/ 24.00 
22371;MGB;ACI TIP X 140 COMPRIMIDOS;31/03/2028;MAGALDRATO + SIMETICONA; S/ 137.00 
21840;LAP;ACICLOVIR 200MG X100 TAB;31/10/2028;ACICLOVIR; S/ 12.00 
26866;IQF;ACICLOVIR 800MG X 10 TAB;31/12/2028;ACICLOVIR; S/ 8.30 
31079;LAP;ACICLOVIR 800MG X 10 TAB;29/02/2028;ACICLOVIR; S/ 7.50 
31414;AC;ACICLOVIR 800MG X 10 TABLETAS;31/08/2027;ACICLOVIR; S/ 7.50 
23061;LAP;ACICLOVIR CREMA 5 X 5G;30/09/2028;ACICLOVIR; S/ 1.40 
25973;IQF;ACICLOVIR CREMA 5 X 5G;31/05/2028;ACICLOVIR; S/ 2.50 
2056;FIN;ACICLOVIR CREMA 5 X 5G;31/08/2028;ACICLOVIR; S/ 2.40 
28116;LLA;ACIDO ACETIL SALICILICO 100MG X 100 TAB;31/03/2027;ACETILSALICILICO ACIDO; S/ 6.50 
6755;LAP;ACIDO FOLICO 0.5MG X100 TAB;30/09/2028;ACIDO FOLICO; S/ 3.50 
23014;GEN;ACIDO FUSIDICO 2 CREMA X 15 GR;30/04/2027;ACIDO FUSIDICO; S/ 16.00 
30619;SHE;ACIDOR EXTRA RAPID X 150ML;30/11/2026;HIDROXIDO DE AL Y MG +SIMETICO; S/ 13.20 
29610;SHE;ACIVICLOR CREMA 5% X 5GR-ACICLOVIR;31/01/2028;ACICLOVIR; S/ 4.00 
30316;MED;ACNOMEL JABON CARBON X 100GR;31/01/2028;EXFOLIATIVO; S/ 7.50 
3304;MED;ACNOMEL JABON LIMPIEZA PROF X 100 GR;31/07/2027;EXFOLIATIVO; S/ 7.50 
29061;MED;ACNOMEL JABON PIEL SENSIBLE X 100GR;31/12/2027;EXFOLIATIVO; S/ 7.00 
29000;FIN;ACOXX  60MG CJA X14 TAB REC;30/11/2026;ETORICOXIB; S/ 63.00 
474;IDU;ACTERIL 5MG ML NEBUL FCO 10ML SALBUTAMOL;29/02/2028;SALBUTAMOL; S/ 15.00 
31344;OM;AERO OM FORTE SAB.ANIS X 20 COMP.MASTICABLES;31/07/2029;SIMETICONA; S/ 21.00 
2675;OM;AERO OM GOTAS 15ML FRESA;31/07/2028;SIMETICONA; S/ 12.50 
